Name,Ticker,Price,EPS Trailing,Trailing PE Ratio,EPS Forward,Forward PE Ratio,Column1,Price to Book Ratio,,6000,,
Banco Bradesco S.A.,BBD,1.96,0.21,9.333333333,0.44,4.454545455,-4.878787879,0.12440495,,0.4,2400,15.71709234
Vale S.A.,VALE,8.94,2.16,4.138888889,2.05,4.36097561,0.222086721,0.18299796,,0.4,2400,17.01524282
United Microelectronics Corporation,UMC,6.28,0.62,10.12903226,0.64,9.8125,-0.316532258,0.21367814,,0.2,1200,23.09024437
ItaÃº Unibanco Holding S.A.,ITUB,5.32,0.65,8.184615385,0.88,6.045454545,-2.139160839,0.27098614,,,,
PetrÃ³leo Brasileiro S.A. - Petrobras,PBR-A,12.25,2.56,4.78515625,3.08,3.977272727,-0.807883523,0.4010739,,,,
PetrÃ³leo Brasileiro S.A. - Petrobras,PBR,13.72,2.56,5.359375,2.97,4.61952862,-0.73984638,0.44920278,,,,
General Motors Company,GM,50.97,9.37,5.439701174,10.57,4.822138127,-0.617563047,0.79040414,,,,
CVS Health Corporation,CVS,52.62,3.94,13.35532995,6.48,8.12037037,-5.234959579,0.8832712,,,,
Ford Motor Company,F,10.18,0.88,11.56818182,1.75,5.817142857,-5.751038961,0.9130045,,,,
Cenovus Energy Inc.,CVE,15.06,1.38,10.91304348,1.55,9.716129032,-1.196914446,0.9477063,,,,
"American International Group, Inc.",AIG,75.09,5.03,14.92842942,6.71,11.19076006,-3.737669364,1.050827,,,,
Nucor Corporation,NUE,124.53,10.39,11.98556304,9.36,13.30448718,1.318924138,1.4282929,,,,
The Bank of New York Mellon Corporation,BK,83.29,5.8,14.36034483,6.53,12.75497703,-1.605367798,1.6085051,,,,
Valero Energy Corporation,VLO,141.05,11.37,12.40545295,9.65,14.61658031,2.211127365,1.7682751,,,,
"Host Hotels & Resorts, Inc.",HST,17.06,1.03,16.5631068,0.97,17.58762887,1.02452207,1.7767131,,,,
Synchrony Financial,SYF,68.75,7.7,8.928571429,6.47,10.625966,1.697394568,1.8132187,,,,
Occidental Petroleum Corporation,OXY,51.97,3.65,14.23835616,3.16,16.44620253,2.207846367,1.8477566,,,,
Kinross Gold Corporation,KGC,10.31,0.6,17.18333333,0.88,11.71590909,-5.467424242,1.9067875,,,,
Energy Transfer LP,ET,20.29,1.36,14.91911765,1.58,12.84177215,-2.077345495,2.2157915,,,,
Marathon Petroleum Corporation,MPC,152.7,12.89,11.84639255,10.2,14.97058824,3.124195683,2.6212342,,,,
Baker Hughes Company,BKR,46.54,2.23,20.86995516,2.57,18.10894942,-2.761005741,2.843353,,,,
Schlumberger Limited,SLB,43.58,3.11,14.01286174,3.67,11.8746594,-2.138202336,2.8608942,,,,
"United Airlines Holdings, Inc.",UAL,107.38,8.39,12.79856973,12.09,8.88172043,-3.916849296,3.0874953,,,,
TechnipFMC plc,FTI,32.57,1.51,21.56953642,1.97,16.53299492,-5.0365415,4.2514033,,,,
Lloyds Banking Group plc,LYG,2.85,0.34,8.382352941,0.36,7.916666667,-0.465686275,4.3511453,,,,
